date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:01	728/728	---M--	404	error ('Not%20Found')	text/html	etag:%22376153c3-2d8-5081ceecbe680%22	http://www.cs.uu.nl/robots.txt		(from )
09:24:02	223/223	---M--	200	added ('OK')	text/html	etag:%223760b681-df-55276217cd140%22	http://www.cs.uu.nl/docs/vakken/maa/current/	www.cs.uu.nl/docs/vakken/maa/current/index.html	(from )
09:24:02	7358/7358	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223760b686-1cbe-4f61083ccf680%22	http://www.cs.uu.nl/docs/vakken/maa/current/maa.ico	www.cs.uu.nl/docs/vakken/maa/current/maa.ico	(from http://www.cs.uu.nl/docs/vakken/maa/current/)
09:24:03	4372/4372	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:03%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/toc.php	www.cs.uu.nl/docs/vakken/maa/current/toc.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/)
09:24:06	2601/2601	---M--	200	added ('OK')	text/css	etag:%223760b685-a29-5a8232d4e9640%22	http://www.cs.uu.nl/docs/vakken/maa/current/maa.css	www.cs.uu.nl/docs/vakken/maa/current/maa.css	(from http://www.cs.uu.nl/docs/vakken/maa/current/toc.php)
09:24:06	31910/31910	---MC-	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:04%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/news.php	www.cs.uu.nl/docs/vakken/maa/current/news.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/)
09:24:06	2215/2215	---M--	200	added ('OK')	text/javascript	etag:%2237603fa4-8a7-4c1075605dfc0%22	http://www.cs.uu.nl/docs/vakken/maa/current/js/jquery.jslatex.js	www.cs.uu.nl/docs/vakken/maa/current/js/jquery.jslatex.js	(from http://www.cs.uu.nl/docs/vakken/maa/current/toc.php)
09:24:07	1535/1535	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:07%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/explain_daydiff.php	www.cs.uu.nl/docs/vakken/maa/current/explain_daydiff.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/toc.php)
09:24:08	7248/7248	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:08%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/schedule.php	www.cs.uu.nl/docs/vakken/maa/current/schedule.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/toc.php)
09:24:10	9913/9913	---MC-	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:09%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/topics.php	www.cs.uu.nl/docs/vakken/maa/current/topics.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/toc.php)
09:24:10	1247/1247	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:10%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/diagram.php	www.cs.uu.nl/docs/vakken/maa/current/diagram.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/toc.php)
09:24:11	2815/2815	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:11%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/links.php	www.cs.uu.nl/docs/vakken/maa/current/links.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/toc.php)
09:24:12	3174/3174	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:12%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/netlogo.php	www.cs.uu.nl/docs/vakken/maa/current/netlogo.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/toc.php)
09:24:13	2512/2512	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:13%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/exams.php	www.cs.uu.nl/docs/vakken/maa/current/exams.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/toc.php)
09:24:21	7273/7273	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:17%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_introduction.php	www.cs.uu.nl/docs/vakken/maa/current/page_introduction.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/schedule.php)
09:24:22	16776/16776	---MC-	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:16%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/netlogo-web.php	www.cs.uu.nl/docs/vakken/maa/current/netlogo-web.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/news.php)
09:24:22	4394/4394	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:21%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_bandit_algorithms.php	www.cs.uu.nl/docs/vakken/maa/current/page_bandit_algorithms.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/schedule.php)
09:24:24	6195/6195	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:22%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_reinforcement_learning.php	www.cs.uu.nl/docs/vakken/maa/current/page_reinforcement_learning.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/schedule.php)
09:24:26	3807/3807	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:24%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_equilibria.php	www.cs.uu.nl/docs/vakken/maa/current/page_equilibria.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/schedule.php)
09:24:28	4424/4424	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:26%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_no_regret.php	www.cs.uu.nl/docs/vakken/maa/current/page_no_regret.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/schedule.php)
09:24:30	6035/6035	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:28%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_fictitious_play.php	www.cs.uu.nl/docs/vakken/maa/current/page_fictitious_play.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/schedule.php)
09:24:32	4490/4490	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:30%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_gradient_dynamics.php	www.cs.uu.nl/docs/vakken/maa/current/page_gradient_dynamics.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/schedule.php)
09:24:34	4854/4854	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:32%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_bayesian_learning.php	www.cs.uu.nl/docs/vakken/maa/current/page_bayesian_learning.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/schedule.php)
09:24:36	3781/3781	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:34%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_bachelor_assignment.php	www.cs.uu.nl/docs/vakken/maa/current/page_bachelor_assignment.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/schedule.php)
09:24:38	4337/4337	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:36%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_replicator_dynamic.php	www.cs.uu.nl/docs/vakken/maa/current/page_replicator_dynamic.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/schedule.php)
09:24:40	4297/4297	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:38%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_satisficing.php	www.cs.uu.nl/docs/vakken/maa/current/page_satisficing.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/schedule.php)
09:24:42	7152/7152	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:40%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_teach_and_follow.php	www.cs.uu.nl/docs/vakken/maa/current/page_teach_and_follow.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/schedule.php)
09:24:44	5220/5220	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:42%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_tournament.php	www.cs.uu.nl/docs/vakken/maa/current/page_tournament.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/schedule.php)
09:24:46	4713/4713	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:44%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_game_theory.php	www.cs.uu.nl/docs/vakken/maa/current/page_game_theory.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:24:48	4250/4250	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:46%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_repeated_games.php	www.cs.uu.nl/docs/vakken/maa/current/page_repeated_games.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:24:50	2663/2663	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:48%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_conditional_no_regret.php	www.cs.uu.nl/docs/vakken/maa/current/page_conditional_no_regret.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:24:52	3452/3452	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:50%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_calibration.php	www.cs.uu.nl/docs/vakken/maa/current/page_calibration.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:24:54	3428/3428	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:52%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_hypothesis_testing.php	www.cs.uu.nl/docs/vakken/maa/current/page_hypothesis_testing.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
